text,label
"The movie was a complete disappointment. The plot was predictable, the acting was wooden, and the special effects looked cheap. I would not recommend it. This document contains important information.",review
"Document summary: The chemical reaction was catalyzed using a palladium-based compound, resulting in a 95% yield of the desired product.",academic
Health officials are urging the public to get vaccinated ahead of what is predicted to be a severe flu season. This document contains important information.,news
Document summary: World leaders are gathering for a summit to discuss a new international climate accord aimed at reducing carbon emissions.,news
Content: Service at this restaurant was terrible. We waited 20 minutes just to get menus and our food arrived cold. The manager was unapologetic. Additional details follow.,review
"Document summary: The enchanted forest whispered secrets to those who knew how to listen. Elara, however, was not just listening; she was answering.",story
"Function `calculate_sum(a, b)` returns the sum of two integer arguments. Ensure inputs are not floating-point numbers to avoid type errors. This document contains important information.",technical
This purchase agreement is contingent upon the buyer securing financing within 30 days of the acceptance of this offer. This document contains important information.,legal
The central bank announced today it would be raising interest rates by 25 basis points in an effort to curb rising inflation. This document contains important information.,news
World leaders are gathering for a summit to discuss a new international climate accord aimed at reducing carbon emissions. This document contains important information.,news
"Document summary: Certified Public Accountant (CPA) with extensive experience in financial auditing, compliance, and risk management for Fortune 500 companies.",resume
Results-oriented marketing director with a proven track record of increasing brand awareness and driving revenue growth through innovative digital strategies.,resume
"Document summary: The dragon unfurled its wings, each scale shimmering like a thousand emeralds in the fading light of the twin suns.",story
"Document summary: INVOICE #5829 Due Date: 10/15/2024. Billed to: ABC Corp. Services Rendered: Web Development. Amount Due: $5,200.00.",financial
"Content: The defendant is hereby ordered to appear in the Superior Court of California, County of Los Angeles, on the specified date. Additional details follow.",legal
"OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then.",email
"Content: The chemical reaction was catalyzed using a palladium-based compound, resulting in a 95% yield of the desired product. Additional details follow.",academic
"Document summary: A solid product that does exactly what it says it will do. It's not flashy, but it's reliable and well-built. A good value for the price.",review
"Detail-oriented research assistant with a background in molecular biology, proficient in laboratory techniques including PCR, Western Blot, and cell culturing. This document contains important information.",resume
"Content: Methodology: We conducted a double-blind, placebo-controlled study with 500 participants over a period of six months. Additional details follow.",academic
"The spaceship creaked under the strain of atmospheric entry, alarms blaring as the planet's surface rushed up to meet them.",story
World leaders are gathering for a summit to discuss a new international climate accord aimed at reducing carbon emissions.,news
"Chapter 1: It was a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",story
"Document summary: A wire transfer in the amount of $10,000.00 has been successfully initiated from your checking account.",financial
"She clutched the faded photograph, the only memento of a summer that had changed her life forever. This document contains important information.",story
"Content: Subject: Your order has shipped! Dear Customer, we're excited to let you know that your order #12345 is on its way. You can track your package here. Additional details follow.",email
"The defendant is hereby ordered to appear in the Superior Court of California, County of Los Angeles, on the specified date. Furthermore,",legal
"Content: Auditor's Opinion: In our opinion, the financial statements present fairly, in all material respects, the financial position of the company. Additional details follow.",financial
"Document summary: The enchanted forest whispered secrets to those who knew how to listen. Elara, however, was not just listening; she was answering.",story
"Hi Team, Just a reminder that our weekly sync is scheduled for 10 AM tomorrow. Please come prepared to discuss your Q3 progress. Thanks, John. This document contains important information.",email
"Quarterly Earnings Report: For the period ending September 30, 2024, the company reported a net income of $15.2 million, or $0.58 per share. This document contains important information.",financial
"A multi-car pile-up on the interstate has caused major traffic delays during the morning commute, authorities said. This document contains important information.",news
"A multi-car pile-up on the interstate has caused major traffic delays during the morning commute, authorities said.",news
"The chemical reaction was catalyzed using a palladium-based compound, resulting in a 95% yield of the desired product. This document contains important information.",academic
"Content: Dynamic registered nurse with a decade of experience in critical care and emergency room settings, seeking a leadership role at a major metropolitan hospital. Additional details follow.",resume
Content: The book was a real page-turner. I couldn't put it down! The author did a fantastic job of building suspense until the very end. Additional details follow.,review
"Document summary: A wire transfer in the amount of $10,000.00 has been successfully initiated from your checking account.",financial
Content: The book was a real page-turner. I couldn't put it down! The author did a fantastic job of building suspense until the very end. Additional details follow.,review
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. Furthermore, I have been feeling unwell this week. Furthermore, Best regards, A. Furthermore, Student. Furthermore,",email
"Auditor's Opinion: In our opinion, the financial statements present fairly, in all material respects, the financial position of the company. Furthermore,",financial
"IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above. This document contains important information.",legal
"Document summary: User Manual: To reboot the device, press and hold the power button for ten seconds until the screen turns off.",technical
Content: The following literature review provides a comprehensive overview of existing research on the topic of quantum entanglement. Additional details follow.,academic
"Content: Detail-oriented research assistant with a background in molecular biology, proficient in laboratory techniques including PCR, Western Blot, and cell culturing. Additional details follow.",resume
"The movie was a complete disappointment. Furthermore, The plot was predictable, the acting was wooden, and the special effects looked cheap. Furthermore, I would not recommend it. Furthermore,",review
"Content: Hi Team, Just a reminder that our weekly sync is scheduled for 10 AM tomorrow. Please come prepared to discuss your Q3 progress. Thanks, John. Additional details follow.",email
"Can you please review the attached document and provide your feedback by EOD Friday? Let me know if you have any questions. Furthermore, Cheers, Sarah. Furthermore,",email
"Content: OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then. Additional details follow.",email
"Document summary: Hello Professor Smith, I am writing to request an extension on the upcoming paper. I have been feeling unwell this week. Best regards, A. Student.",email
"Content: Troubleshooting: If you encounter a 404 error, first verify that the URL has been entered correctly and that the server is running. Additional details follow.",technical
"The movie was a complete disappointment. The plot was predictable, the acting was wooden, and the special effects looked cheap. I would not recommend it.",review
Content: The company is applying for a line of credit to finance the acquisition of new manufacturing equipment and expand its operations. Additional details follow.,financial
"Methodology: We conducted a double-blind, placebo-controlled study with 500 participants over a period of six months. Furthermore,",academic
"A multi-car pile-up on the interstate has caused major traffic delays during the morning commute, authorities said. This document contains important information.",news
"Chapter 1: It was a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. Furthermore,",story
"IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above. Furthermore,",legal
Content: The API endpoint requires an authentication token to be passed in the header of the GET request. Additional details follow.,technical
"This last will and testament revokes all previously made wills and codicils. Furthermore,",legal
"Quarterly Earnings Report: For the period ending September 30, 2024, the company reported a net income of $15.2 million, or $0.58 per share.",financial
Content: Health officials are urging the public to get vaccinated ahead of what is predicted to be a severe flu season. Additional details follow.,news
"Seasoned Full-Stack Developer with over 8 years of experience in architecting and deploying scalable web applications using Node. Furthermore,js and AWS. Furthermore,",resume
"This purchase agreement is contingent upon the buyer securing financing within 30 days of the acceptance of this offer. Furthermore,",legal
The database schema has been updated to include a new foreign key constraint in the 'orders' table. This document contains important information.,technical
Document summary: Seasoned Full-Stack Developer with over 8 years of experience in architecting and deploying scalable web applications using Node.js and AWS.,resume
"The central bank announced today it would be raising interest rates by 25 basis points in an effort to curb rising inflation. Furthermore,",news
"I absolutely love this coffee maker! It's fast, quiet, and makes a perfect cup every time. The design is sleek and looks great on my counter. 5/5 stars.",review
This is an attempt to collect a debt. The total outstanding balance on your account is $482.19. Please remit payment at your earliest convenience. This document contains important information.,financial
"Content: This paper introduces a novel algorithm for aperiodic task scheduling in real-time systems, demonstrating a significant reduction in computational complexity. Additional details follow.",academic
"This hotel exceeded all our expectations. The staff was incredibly friendly and helpful, the room was spotless, and the ocean view was breathtaking. This document contains important information.",review
"A solid product that does exactly what it says it will do. It's not flashy, but it's reliable and well-built. A good value for the price.",review
"The chemical reaction was catalyzed using a palladium-based compound, resulting in a 95% yield of the desired product. Furthermore,",academic
"Content: OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then. Additional details follow.",email
"Document summary: The defendant is hereby ordered to appear in the Superior Court of California, County of Los Angeles, on the specified date.",legal
"Accomplished graphic designer with a strong portfolio in branding, UI/UX design, and motion graphics for mobile and web platforms.",resume
"Document summary: The tenant agrees to pay the landlord the sum of $1,500 per month on the first day of each month for the duration of the lease term.",legal
"Content: This server is configured with a RAID 5 array, which provides a good balance of performance and data redundancy. Additional details follow.",technical
"Content: IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above. Additional details follow.",legal
"This paper introduces a novel algorithm for aperiodic task scheduling in real-time systems, demonstrating a significant reduction in computational complexity. Furthermore,",academic
The database schema has been updated to include a new foreign key constraint in the 'orders' table. This document contains important information.,technical
"Abstract: We explore the sociolinguistic implications of code-switching in bilingual communities, analyzing data from recorded conversations. Furthermore,",academic
"Auditor's Opinion: In our opinion, the financial statements present fairly, in all material respects, the financial position of the company.",financial
"Methodology: We conducted a double-blind, placebo-controlled study with 500 participants over a period of six months.",academic
"In sports, the home team secured a last-minute victory with a stunning goal in the final seconds of the championship match. Furthermore,",news
He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish.,story
"Content: In sports, the home team secured a last-minute victory with a stunning goal in the final seconds of the championship match. Additional details follow.",news
Document summary: Senior project manager (PMP) adept at leading cross-functional teams to deliver complex projects on time and within budget.,resume
"In a city built of chrome and starlight, Detective Kaito followed the trail of a notorious data thief known only as 'Glitch'.",story
"Accomplished graphic designer with a strong portfolio in branding, UI/UX design, and motion graphics for mobile and web platforms. Furthermore,",resume
"Content: This server is configured with a RAID 5 array, which provides a good balance of performance and data redundancy. Additional details follow.",technical
"In sports, the home team secured a last-minute victory with a stunning goal in the final seconds of the championship match.",news
"Document summary: The tenant agrees to pay the landlord the sum of $1,500 per month on the first day of each month for the duration of the lease term.",legal
"Human Resources Generalist with expertise in employee relations, talent acquisition, benefits administration, and HR policy development.",resume
"This server is configured with a RAID 5 array, which provides a good balance of performance and data redundancy.",technical
"Document summary: INVOICE #5829 Due Date: 10/15/2024. Billed to: ABC Corp. Services Rendered: Web Development. Amount Due: $5,200.00.",financial
He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish. This document contains important information.,story
"Content: The system's architecture is based on a microservices model, with each service communicating via a RESTful API. Additional details follow.",technical
"Content: This paper introduces a novel algorithm for aperiodic task scheduling in real-time systems, demonstrating a significant reduction in computational complexity. Additional details follow.",academic
"Document summary: The enchanted forest whispered secrets to those who knew how to listen. Elara, however, was not just listening; she was answering.",story
"Quarterly Earnings Report: For the period ending September 30, 2024, the company reported a net income of $15.2 million, or $0.58 per share. This document contains important information.",financial
"Document summary: Accomplished graphic designer with a strong portfolio in branding, UI/UX design, and motion graphics for mobile and web platforms.",resume
Document summary: This purchase agreement is contingent upon the buyer securing financing within 30 days of the acceptance of this offer.,legal
"Chapter 1: It was a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. This document contains important information.",story
"Health officials are urging the public to get vaccinated ahead of what is predicted to be a severe flu season. Furthermore,",news
Document summary: Your recent stock trade for 100 shares of XYZ Inc. at a price of $145.50 has been executed.,financial
"The spaceship creaked under the strain of atmospheric entry, alarms blaring as the planet's surface rushed up to meet them. This document contains important information.",story
Document summary: This purchase agreement is contingent upon the buyer securing financing within 30 days of the acceptance of this offer.,legal
"The fossil record indicates a mass extinction event at the end of the Cretaceous period, largely attributed to an asteroid impact. Furthermore,",academic
"Document summary: To install the package, open your terminal and run the command: `pip install new-package-name`.",technical
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. I have been feeling unwell this week. Best regards, A. Student.",email
"The dragon unfurled its wings, each scale shimmering like a thousand emeralds in the fading light of the twin suns.",story
"In a city built of chrome and starlight, Detective Kaito followed the trail of a notorious data thief known only as 'Glitch'.",story
"Content: In sports, the home team secured a last-minute victory with a stunning goal in the final seconds of the championship match. Additional details follow.",news
"A wire transfer in the amount of $10,000. Furthermore,00 has been successfully initiated from your checking account. Furthermore,",financial
"Document summary: The fog rolled in silently from the harbor, blanketing the cobblestone streets in a damp, gray shroud. A lone figure emerged from the shadows.",story
"Document summary: This hotel exceeded all our expectations. The staff was incredibly friendly and helpful, the room was spotless, and the ocean view was breathtaking.",review
"Content: A solid product that does exactly what it says it will do. It's not flashy, but it's reliable and well-built. A good value for the price. Additional details follow.",review
Health officials are urging the public to get vaccinated ahead of what is predicted to be a severe flu season.,news
"Security Alert: A new device has signed into your account. If this was not you, please change your password immediately.",email
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. I have been feeling unwell this week. Best regards, A. Student.",email
"Content: OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then. Additional details follow.",email
Content: An archaeological dig has uncovered ancient ruins that could rewrite the history of the early civilization in the region. Additional details follow.,news
This purchase agreement is contingent upon the buyer securing financing within 30 days of the acceptance of this offer.,legal
"Content: The fog rolled in silently from the harbor, blanketing the cobblestone streets in a damp, gray shroud. A lone figure emerged from the shadows. Additional details follow.",story
"Auditor's Opinion: In our opinion, the financial statements present fairly, in all material respects, the financial position of the company. This document contains important information.",financial
Seasoned Full-Stack Developer with over 8 years of experience in architecting and deploying scalable web applications using Node.js and AWS.,resume
"I've been using this moisturizer for two weeks and my skin has never felt softer. Furthermore, It's a bit pricey, but a little goes a long way. Furthermore, Definitely worth it!",review
"Content: The defendant is hereby ordered to appear in the Superior Court of California, County of Los Angeles, on the specified date. Additional details follow.",legal
"Document summary: Pursuant to Title 17 of the United States Code, the copyright owner has the exclusive right to reproduce and distribute the copyrighted work.",legal
"Can you please review the attached document and provide your feedback by EOD Friday? Let me know if you have any questions. Cheers, Sarah.",email
"Content: Certified Public Accountant (CPA) with extensive experience in financial auditing, compliance, and risk management for Fortune 500 companies. Additional details follow.",resume
"Document summary: OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then.",email
"Content: OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then. Additional details follow.",email
"Dynamic registered nurse with a decade of experience in critical care and emergency room settings, seeking a leadership role at a major metropolitan hospital.",resume
